user_id,weights,followers,foll_following,foll_follower,foll_isVerified,foll_favouritesCount,foll_statusCount,foll_profileTime,active_years,status_followers_ratio,followers_following_ratio,verified_score,active_year_score,ff_score,favorites_count_score,sf_score,followers_weights,final_weights
1084.0,0.6500000000000001,468445437.0,107196.0,107477.0,1.0,13601.0,9619.0,2012.0,8.0,0.08949821822343385,1.0026213664688979,0.35,0.1,0.15,0.15,0.05,0.8,1.4500000000000002
1084.0,0.6500000000000001,56232653.0,489.0,2445.0,0.0,25448.0,41879.0,2009.0,11.0,17.128425357873212,5.0,0.0,0.2,0.2,0.2,0.2,0.8,1.4500000000000002
1084.0,0.6500000000000001,23612917.0,1070.0,4254.0,0.0,22617.0,182536.0,2009.0,11.0,42.909261871180064,3.97570093457944,0.0,0.2,0.2,0.2,0.2,0.8,1.4500000000000002
1084.0,0.6500000000000001,52113384.0,230.0,661.0,0.0,31713.0,13520.0,2009.0,11.0,20.453857791225413,2.8739130434782614,0.0,0.2,0.2,0.2,0.2,0.8,1.4500000000000002
1084.0,0.6500000000000001,20556771.0,2226.0,3620.0,0.0,21238.0,10175.0,2009.0,11.0,2.8107734806629834,1.6262353998203054,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,4981271.0,2166.0,2783.0,0.0,20209.0,21126.0,2007.0,13.0,7.591088753144089,1.2848568790397046,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,48562581.0,3533.0,10296.0,0.0,172339.0,38697.0,2009.0,11.0,3.758449883449884,2.9142371921879424,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,48127433.0,1947.0,2524.0,0.0,44390.0,11489.0,2009.0,11.0,4.5519017432646605,1.2963533641499745,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,24504850.0,4946.0,9028.0,0.0,213436.0,69077.0,2009.0,11.0,7.651417811253878,1.8253133845531744,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,14876674.0,1536.0,4345.0,0.0,23904.0,20271.0,2008.0,12.0,4.665362485615653,2.8287760416666665,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,627213.0,1409.0,26427.0,0.0,34111.0,164969.0,2007.0,13.0,6.2424414424641474,18.755855216465573,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,16559223.0,911.0,1472.0,0.0,49632.0,10528.0,2008.0,12.0,7.152173913043479,1.6158068057080133,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,15870809.0,761.0,7314.0,0.0,43776.0,27859.0,2008.0,12.0,3.80899644517364,9.611038107752957,0.0,0.2,0.2,0.2,0.15,0.7500000000000001,1.4000000000000004
1084.0,0.6500000000000001,12392312.0,237.0,556.0,0.0,17038.0,27799.0,2008.0,12.0,49.99820143884892,2.345991561181435,0.0,0.2,0.2,0.15,0.2,0.75,1.4
1084.0,0.6500000000000001,16736800.0,2833.0,2061.0,0.0,121711.0,24925.0,2008.0,12.0,12.093643862202814,0.7274973526297212,0.0,0.2,0.15,0.2,0.2,0.75,1.4
1084.0,0.6500000000000001,50653645.0,1737.0,1115.0,0.0,22048.0,14398.0,2009.0,11.0,12.913004484304931,0.6419113413932067,0.0,0.2,0.15,0.2,0.2,0.75,1.4
1084.0,0.6500000000000001,21231879.0,1208.0,779.0,0.0,30348.0,12902.0,2009.0,11.0,16.56225930680359,0.6448675496688742,0.0,0.2,0.15,0.2,0.2,0.75,1.4
1084.0,0.6500000000000001,161290361.0,2098.0,2901.0,0.0,32531.0,70463.0,2010.0,10.0,24.28921061702861,1.382745471877979,0.0,0.15,0.2,0.2,0.2,0.75,1.4
1084.0,0.6500000000000001,30870316.0,497.0,1281.0,0.0,10659.0,12803.0,2009.0,11.0,9.994535519125684,2.5774647887323945,0.0,0.2,0.2,0.15,0.2,0.75,1.4
1084.0,0.6500000000000001,72192524.0,1903.0,1908.0,0.0,7899.0,23359.0,2009.0,11.0,12.242662473794553,1.0026274303730949,0.0,0.2,0.15,0.15,0.2,0.7,1.35
1084.0,0.6500000000000001,47539180.0,1011.0,318.0,0.0,33360.0,4372.0,2009.0,11.0,13.748427672955975,0.31454005934718104,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,62733454.0,3273.0,6458.0,0.0,11526.0,34653.0,2009.0,11.0,5.365902756271291,1.9731133516651391,0.0,0.2,0.2,0.15,0.15,0.7000000000000001,1.35
1084.0,0.6500000000000001,136309784.0,1135.0,732.0,0.0,87082.0,22072.0,2010.0,10.0,30.153005464480877,0.6449339207048458,0.0,0.15,0.15,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,615265024.0,1044.0,1072.0,0.0,37323.0,18401.0,2012.0,8.0,17.16511194029851,1.0268199233716475,0.0,0.1,0.2,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,19346710.0,3685.0,3333.0,0.0,73721.0,22108.0,2009.0,11.0,6.633063306330633,0.9044776119402984,0.0,0.2,0.15,0.2,0.15,0.7000000000000001,1.35
1084.0,0.6500000000000001,4179816813.0,1595.0,386.0,1.0,725.0,548.0,2015.0,5.0,1.4196891191709844,0.2420062695924765,0.35,0.05,0.1,0.1,0.1,0.7,1.35
1084.0,0.6500000000000001,30576319.0,655.0,189.0,0.0,100138.0,17113.0,2009.0,11.0,90.54497354497354,0.2885496183206107,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,16272776.0,2421.0,921.0,0.0,49894.0,12657.0,2008.0,12.0,13.742671009771989,0.38042131350681535,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,2874668758.0,380.0,483.0,0.0,30478.0,25258.0,2014.0,6.0,52.29399585921325,1.2710526315789474,0.0,0.1,0.2,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,16942804.0,2075.0,2489.0,0.0,6075.0,19578.0,2008.0,12.0,7.865809562073122,1.1995180722891563,0.0,0.2,0.2,0.15,0.15,0.7000000000000001,1.35
1084.0,0.6500000000000001,193963518.0,550.0,424.0,0.0,68917.0,17613.0,2010.0,10.0,41.54009433962264,0.7709090909090909,0.0,0.15,0.15,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,878425585.0,650.0,910.0,0.0,46195.0,12239.0,2012.0,8.0,13.44945054945055,1.4,0.0,0.1,0.2,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,798542.0,264.0,3984.0,0.0,74178.0,10396.0,2007.0,13.0,2.609437751004016,15.090909090909092,0.0,0.2,0.2,0.2,0.1,0.7000000000000001,1.35
1084.0,0.6500000000000001,2185.0,3205.0,16157.0,0.0,35307.0,30547.0,2006.0,14.0,1.890635637804048,5.0411856474258965,0.0,0.2,0.2,0.2,0.1,0.7000000000000001,1.35
1084.0,0.6500000000000001,5051171.0,2043.0,1249.0,0.0,57234.0,18431.0,2007.0,13.0,14.756605284227385,0.6113558492413118,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,12191022.0,3091.0,1914.0,0.0,56484.0,22812.0,2008.0,12.0,11.918495297805645,0.6192170818505338,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,18010034.0,1051.0,724.0,0.0,21593.0,5638.0,2008.0,12.0,7.787292817679558,0.6888677450047573,0.0,0.2,0.15,0.2,0.15,0.7000000000000001,1.35
1084.0,0.6500000000000001,305275985.0,314.0,498.0,0.0,8431.0,9767.0,2011.0,9.0,19.61244979919679,1.585987261146497,0.0,0.15,0.2,0.15,0.2,0.7,1.35
1084.0,0.6500000000000001,20351289.0,4880.0,43574.0,0.0,51967.0,79364.0,2009.0,11.0,1.8213613622802591,8.929098360655738,0.0,0.2,0.2,0.2,0.1,0.7000000000000001,1.35
1084.0,0.6500000000000001,18842214.0,5364.0,20424.0,0.0,37173.0,17286.0,2009.0,11.0,0.8463572267920094,3.8076062639821027,0.0,0.2,0.2,0.2,0.1,0.7000000000000001,1.35
1084.0,0.6500000000000001,213482152.0,1119.0,6238.0,0.0,110860.0,27279.0,2010.0,10.0,4.373036229560757,5.574620196604111,0.0,0.15,0.2,0.2,0.15,0.7000000000000001,1.35
1084.0,0.6500000000000001,65399835.0,7538.0,9055.0,0.0,65339.0,15470.0,2009.0,11.0,1.7084483710657097,1.201247015123375,0.0,0.2,0.2,0.2,0.1,0.7000000000000001,1.35
1084.0,0.6500000000000001,1170003890.0,3838.0,6777.0,0.0,273223.0,80269.0,2013.0,7.0,11.844326398111258,1.7657634184471078,0.0,0.1,0.2,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,570235252.0,617.0,932.0,0.0,84430.0,22311.0,2012.0,8.0,23.938841201716727,1.5105348460291734,0.0,0.1,0.2,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,17492386.0,2176.0,545.0,0.0,21416.0,20402.0,2008.0,12.0,37.434862385321104,0.25045955882352944,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,56019754.0,1883.0,1574.0,0.0,19765.0,9243.0,2009.0,11.0,5.872299872935197,0.8359001593202336,0.0,0.2,0.15,0.2,0.15,0.7000000000000001,1.35
1084.0,0.6500000000000001,14154963.0,1311.0,618.0,0.0,33185.0,13873.0,2008.0,12.0,22.44822006472492,0.471395881006865,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,18919064.0,3840.0,1251.0,0.0,171337.0,39598.0,2009.0,11.0,31.653077537969626,0.32578125,0.0,0.2,0.1,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,2449902444.0,97.0,162.0,0.0,21722.0,16165.0,2014.0,6.0,99.78395061728395,1.6701030927835052,0.0,0.1,0.2,0.2,0.2,0.7,1.35
1084.0,0.6500000000000001,310089038.0,1608.0,1260.0,0.0,64814.0,69599.0,2011.0,9.0,55.237301587301594,0.7835820895522388,0.0,0.15,0.15,0.2,0.2,0.7,1.35
