user_id,weights,followers,foll_following,foll_follower,foll_isVerified,foll_favouritesCount,foll_statusCount,foll_profileTime,active_years,followers_following_ratio,status_followers_ratio,verified_score,active_year_score,ff_score,favorites_count_score,sf_score,followers_weights,final_weights
1688.0,0.9500000000000002,417139531.0,4700.0,3254.0,0.0,124668.0,82180.0,2011.0,9.0,0.6923404255319149,25.25507068223725,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,298337217.0,4792.0,3308.0,0.0,50038.0,40260.0,2011.0,9.0,0.6903171953255426,12.17049576783555,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,66365462.0,6645.0,6326.0,0.0,282094.0,528622.0,2009.0,11.0,0.9519939804364184,83.56338918748023,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,78941000.0,4946.0,3236.0,0.0,74788.0,84697.0,2009.0,11.0,0.6542660735948241,26.17336217552534,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,28896284.0,56683.0,60363.0,0.0,104498.0,187314.0,2009.0,11.0,1.0649224635252192,3.1031260871726056,0.0,0.15,0.2,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,16737566.0,9569.0,8971.0,0.0,54030.0,57697.0,2008.0,12.0,0.9375065315079946,6.431501504848957,0.0,0.2,0.15,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,1888448798.0,319.0,405.0,0.0,53114.0,86787.0,2013.0,7.0,1.2695924764890285,214.2888888888889,0.0,0.1,0.2,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,15752560.0,1584.0,492.0,0.0,31648.0,15270.0,2008.0,12.0,0.3106060606060606,31.036585365853657,0.0,0.2,0.1,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,16618234.0,5952.0,5772.0,0.0,22203.0,18443.0,2008.0,12.0,0.969758064516129,3.195252945252945,0.0,0.2,0.15,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,15284799.0,8062.0,8355.0,0.0,59220.0,22606.0,2008.0,12.0,1.036343339121806,2.7056852184320768,0.0,0.2,0.2,0.1,0.1,0.6,1.5500000000000005
1688.0,0.9500000000000002,5599302.0,3651.0,2591.0,0.0,18609.0,10565.0,2007.0,13.0,0.7096685839496029,4.0775762253956005,0.0,0.2,0.15,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,401820335.0,465.0,7476.0,0.0,77.0,172953.0,2011.0,9.0,16.07741935483871,23.13443017656501,0.0,0.15,0.2,0.05,0.2,0.6,1.5500000000000005
1688.0,0.9500000000000002,17976894.0,1998.0,1811.0,0.0,74636.0,11767.0,2008.0,12.0,0.9064064064064064,6.4975151849806725,0.0,0.2,0.15,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,385193835.0,14372.0,16458.0,0.0,31152.0,74878.0,2011.0,9.0,1.145143334261063,4.5496415117268185,0.0,0.15,0.2,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,276670760.0,602.0,417.0,0.0,27052.0,25332.0,2011.0,9.0,0.6926910299003323,60.74820143884892,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,23763190.0,9714.0,10252.0,0.0,682.0,192853.0,2009.0,11.0,1.05538398188182,18.811256340226297,0.0,0.15,0.2,0.05,0.2,0.6,1.5500000000000005
1688.0,0.9500000000000002,46805748.0,2636.0,7403.0,0.0,74385.0,68539.0,2009.0,11.0,2.8084218512898333,9.258273672835335,0.0,0.15,0.2,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,29346503.0,1374.0,2180.0,0.0,23832.0,11100.0,2009.0,11.0,1.586608442503639,5.091743119266055,0.0,0.15,0.2,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,204647319.0,6897.0,7120.0,0.0,17357.0,25853.0,2010.0,10.0,1.0323328983616065,3.6310393258426967,0.0,0.15,0.2,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,16411802.0,5000.0,2053.0,0.0,51880.0,51624.0,2008.0,12.0,0.4106,25.14564052605943,0.0,0.2,0.1,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,108646838.0,11805.0,13125.0,0.0,177244.0,126615.0,2010.0,10.0,1.1118170266836087,9.646857142857145,0.0,0.15,0.2,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,1701409705.0,786.0,1355.0,0.0,40966.0,14699.0,2013.0,7.0,1.7239185750636132,10.847970479704797,0.0,0.1,0.2,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,40106475.0,315.0,210.0,0.0,47995.0,11310.0,2009.0,11.0,0.6666666666666666,53.85714285714285,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,56812213.0,3307.0,2547.0,0.0,163725.0,105228.0,2009.0,11.0,0.7701844572119746,41.31448763250884,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,34977447.0,323.0,245.0,0.0,59473.0,32983.0,2009.0,11.0,0.7585139318885449,134.62448979591838,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,35773281.0,2195.0,1730.0,0.0,38068.0,31632.0,2009.0,11.0,0.7881548974943052,18.284393063583813,0.0,0.15,0.15,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,58393267.0,1823.0,2187.0,0.0,100277.0,20336.0,2009.0,11.0,1.1996708721887,9.298582533150434,0.0,0.15,0.2,0.1,0.15,0.6,1.5500000000000005
1688.0,0.9500000000000002,16094355.0,4962.0,1665.0,0.0,20807.0,113696.0,2008.0,12.0,0.3355501813784764,68.28588588588589,0.0,0.2,0.1,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,2899062927.0,94.0,154.0,0.0,78327.0,49107.0,2014.0,6.0,1.6382978723404256,318.8766233766234,0.0,0.1,0.2,0.1,0.2,0.6000000000000001,1.5500000000000005
1688.0,0.9500000000000002,1362074456.0,397.0,464.0,0.0,3268.0,10888.0,2013.0,7.0,1.1687657430730478,23.46551724137931,0.0,0.1,0.2,0.075,0.2,0.5750000000000001,1.5250000000000004
1688.0,0.9500000000000002,16370212.0,184.0,109.0,0.0,12792.0,3099.0,2008.0,12.0,0.592391304347826,28.43119266055045,0.0,0.2,0.1,0.075,0.2,0.5750000000000001,1.5250000000000004
1688.0,0.9500000000000002,2473718990.0,812.0,831.0,0.0,6305.0,12994.0,2014.0,6.0,1.0233990147783252,15.636582430806255,0.0,0.1,0.2,0.075,0.2,0.5750000000000001,1.5250000000000004
1688.0,0.9500000000000002,305287064.0,567.0,409.0,0.0,14446.0,11772.0,2011.0,9.0,0.7213403880070547,28.782396088019556,0.0,0.15,0.15,0.075,0.2,0.575,1.525
1688.0,0.9500000000000002,17069776.0,1576.0,1144.0,0.0,3273.0,9621.0,2008.0,12.0,0.7258883248730964,8.409965034965035,0.0,0.2,0.15,0.075,0.15,0.575,1.525
1688.0,0.9500000000000002,260879587.0,360.0,250.0,0.0,5059.0,7389.0,2011.0,9.0,0.6944444444444444,29.555999999999997,0.0,0.15,0.15,0.075,0.2,0.575,1.525
1688.0,0.9500000000000002,45384556.0,211.0,133.0,0.0,4861.0,6443.0,2009.0,11.0,0.6303317535545023,48.4436090225564,0.0,0.15,0.15,0.075,0.2,0.575,1.525
1688.0,0.9500000000000002,20415005.0,4582.0,3322.0,0.0,7283.0,114248.0,2009.0,11.0,0.7250109122653863,34.39133052378085,0.0,0.15,0.15,0.075,0.2,0.575,1.525
1688.0,0.9500000000000002,16976252.0,2752.0,1986.0,0.0,4624.0,16945.0,2008.0,12.0,0.7216569767441859,8.532225579053373,0.0,0.2,0.15,0.075,0.15,0.575,1.525
1688.0,0.9500000000000002,49214790.0,71.0,50.0,0.0,2989.0,8597.0,2009.0,11.0,0.7042253521126759,171.94,0.0,0.15,0.15,0.075,0.2,0.575,1.525
1688.0,0.9500000000000002,57128290.0,1340.0,1378.0,0.0,13057.0,7373.0,2009.0,11.0,1.0283582089552241,5.350507982583454,0.0,0.15,0.2,0.075,0.15,0.575,1.525
1688.0,0.9500000000000002,21859500.0,1671.0,4754.0,0.0,5644.0,27910.0,2009.0,11.0,2.845002992220228,5.870845603702144,0.0,0.15,0.2,0.075,0.15,0.575,1.525
1688.0,0.9500000000000002,18362981.0,523.0,79.0,0.0,22751.0,971.0,2008.0,12.0,0.15105162523900573,12.291139240506327,0.0,0.2,0.05,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,192716457.0,2721.0,1659.0,0.0,126562.0,18818.0,2010.0,10.0,0.6097023153252481,11.342977697408076,0.0,0.15,0.1,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,35341081.0,2323.0,1062.0,0.0,18300.0,18761.0,2009.0,11.0,0.4571674558760224,17.66572504708098,0.0,0.15,0.1,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,215825870.0,2986.0,730.0,0.0,27348.0,7483.0,2010.0,10.0,0.2444742129939719,10.25068493150685,0.0,0.15,0.1,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,36946774.0,4965.0,3011.0,0.0,67852.0,81124.0,2009.0,11.0,0.6064451158106747,26.94254400531385,0.0,0.15,0.1,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,1923590408.0,4588.0,4315.0,0.0,133252.0,257454.0,2013.0,7.0,0.9404969485614648,59.6648899188876,0.0,0.1,0.15,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,54674743.0,11315.0,10730.0,0.0,294305.0,34592.0,2009.0,11.0,0.9482987185152452,3.2238583410997204,0.0,0.15,0.15,0.1,0.15,0.55,1.5000000000000002
1688.0,0.9500000000000002,2739998144.0,1101.0,794.0,0.0,47885.0,34541.0,2014.0,6.0,0.7211625794732062,43.50251889168766,0.0,0.1,0.15,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,201476016.0,975.0,250.0,0.0,90002.0,8594.0,2010.0,10.0,0.2564102564102564,34.376,0.0,0.15,0.1,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,8.439841092025385e+17,4664.0,4719.0,0.0,114419.0,118793.0,2017.0,3.0,1.0117924528301887,25.173341809705445,0.0,0.05,0.2,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,42005755.0,959.0,234.0,0.0,28308.0,7562.0,2009.0,11.0,0.2440041710114703,32.31623931623932,0.0,0.15,0.1,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,377091188.0,3063.0,1529.0,0.0,565174.0,69598.0,2011.0,9.0,0.4991838067254326,45.51863963374755,0.0,0.15,0.1,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,372354374.0,1920.0,1339.0,0.0,38934.0,11636.0,2011.0,9.0,0.6973958333333333,8.69006721433906,0.0,0.15,0.15,0.1,0.15,0.55,1.5000000000000002
1688.0,0.9500000000000002,61680182.0,16371.0,15786.0,0.0,51167.0,81769.0,2009.0,11.0,0.9642660802638812,5.179842898771064,0.0,0.15,0.15,0.1,0.15,0.55,1.5000000000000002
1688.0,0.9500000000000002,2391365335.0,563.0,470.0,0.0,72112.0,19354.0,2014.0,6.0,0.8348134991119005,41.178723404255315,0.0,0.1,0.15,0.1,0.2,0.55,1.5000000000000002
1688.0,0.9500000000000002,324097410.0,8213.0,7569.0,0.0,148791.0,21828.0,2011.0,9.0,0.9215877267746256,2.883868410622275,0.0,0.15,0.15,0.1,0.15,0.55,1.5000000000000002
