user_id,followers_count,following_count,status_count,created_at
16580616,1983,1002,29212,Fri Oct 03 17:19:55 +0000 2008
127238794,1651,1148,41180,Sun Mar 28 15:00:19 +0000 2010
26793734,103746,1560,61550,Thu Mar 26 17:03:32 +0000 2009
421047121,6392,3649,360678,Fri Nov 25 12:39:30 +0000 2011
26181751,965,1417,77289,Tue Mar 24 05:02:05 +0000 2009
2241270623,5994,4154,25232,Tue Dec 24 08:50:57 +0000 2013
1039354924205629440,1251,2193,17597,Tue Sep 11 03:28:18 +0000 2018
15135715,77468,240,66695,Mon Jun 16 16:24:45 +0000 2008
200846651,183161,2321,34352,Sun Oct 10 12:41:54 +0000 2010
1160775618,14159,12834,330906,Fri Feb 08 17:43:52 +0000 2013
340367718,1155,589,87568,Fri Jul 22 15:51:13 +0000 2011
69081746,1272,2344,235075,Wed Aug 26 20:11:43 +0000 2009
47884124,6315,764,37969,Wed Jun 17 07:00:24 +0000 2009
1042435416257835008,8,6,4922,Wed Sep 19 15:29:05 +0000 2018
15297709,8236,891,45884,Wed Jul 02 13:07:50 +0000 2008
2166639265,2810,2644,54925,Thu Oct 31 13:33:45 +0000 2013
18440161,1292,4918,28243,Mon Dec 29 02:34:17 +0000 2008
196832041,2049,3842,17830,Thu Sep 30 00:45:39 +0000 2010
411446545,13275,10711,35237,Sun Nov 13 12:33:50 +0000 2011
19655686,21369,22583,57961,Wed Jan 28 15:08:57 +0000 2009
26439527,1940,1826,573916,Wed Mar 25 05:35:48 +0000 2009
625289966,905,337,17780,Tue Jul 03 05:39:25 +0000 2012
992232814912397312,3184,4074,15164,Fri May 04 02:41:52 +0000 2018
108230149,45,163,1897,Mon Jan 25 07:57:07 +0000 2010
211038663,110,121,8244,Tue Nov 02 03:41:43 +0000 2010
20444033,196,382,7284,Mon Feb 09 16:01:31 +0000 2009
1362237086,1813,1013,26504,Thu Apr 18 15:38:11 +0000 2013
152917502,8255,4677,510582,Mon Jun 07 06:00:29 +0000 2010
131571364,1816,1544,400102,Sat Apr 10 17:35:04 +0000 2010
2921438129,892,1441,111689,Sun Dec 14 14:26:35 +0000 2014
835898041534201856,4851,5099,86719,Sun Feb 26 17:03:18 +0000 2017
148863656,6,142,4455,Thu May 27 20:22:27 +0000 2010
956285532622827527,15932,10,920,Wed Jan 24 22:00:12 +0000 2018
1101343261,252,92,3000,Fri Jan 18 16:01:56 +0000 2013
2422836344,335,188,16580,Wed Apr 02 00:00:12 +0000 2014
823827147672272897,10,59,22184,Tue Jan 24 09:37:52 +0000 2017
2655467592,3,8,2201,Fri Jul 18 02:35:47 +0000 2014
164431348,2897,3359,22509,Thu Jul 08 21:36:24 +0000 2010
993312047491375104,176,355,1543,Mon May 07 02:10:21 +0000 2018
2783180225,4802,0,260501,Thu Sep 25 00:17:24 +0000 2014
100856169,182,235,42187,Thu Dec 31 22:33:15 +0000 2009
1024089138151215104,97,41,5123,Tue Jul 31 00:27:31 +0000 2018
54317462,2700,5001,127235,Mon Jul 06 20:11:28 +0000 2009
424937613,1043,1099,1429,Wed Nov 30 10:43:11 +0000 2011
54362591,59894,604,6542,Mon Jul 06 22:52:27 +0000 2009
807095,47289597,906,407422,Fri Mar 02 20:41:42 +0000 2007
1967626670,102,0,233211,Thu Oct 17 21:29:40 +0000 2013
240649372,50,177,231,Thu Jan 20 12:15:52 +0000 2011
237064482,1680,1824,40838,Wed Jan 12 00:36:40 +0000 2011
873305105260400640,11698,10339,9523,Fri Jun 09 22:25:37 +0000 2017
1018513117633024005,1,4,9,Sun Jul 15 15:10:25 +0000 2018
2962665473,801,4763,72055,Mon Jan 05 20:27:43 +0000 2015
4207731253,16683,670,9805,Thu Nov 12 02:21:43 +0000 2015
54733279,1428,1661,11894,Wed Jul 08 00:16:32 +0000 2009
1365718207,1413,2106,39624,Sat Apr 20 00:13:37 +0000 2013
4333676475,963,843,880,Mon Nov 30 23:17:20 +0000 2015
967888967658950656,20661,18562,107382,Sun Feb 25 22:28:07 +0000 2018
579955173,5952,4770,19990,Mon May 14 13:23:29 +0000 2012
18195250,762,532,1754,Wed Dec 17 18:18:26 +0000 2008
2481540306,443,265,83865,Wed May 07 06:46:56 +0000 2014
47797152,1879,2778,5680,Wed Jun 17 00:54:58 +0000 2009
81750005,50,5,163,Mon Oct 12 03:14:37 +0000 2009
1289485338,90,248,6404,Fri Mar 22 19:40:28 +0000 2013
1029355605650288640,2107,2243,13065,Tue Aug 14 13:14:35 +0000 2018
988966586013900801,10,82,728,Wed Apr 25 02:23:03 +0000 2018
3053928455,139,444,31366,Sun Feb 22 21:15:06 +0000 2015
182301577,11583,12427,273088,Tue Aug 24 08:44:10 +0000 2010
15438211,2626,9,58371,Tue Jul 15 08:04:41 +0000 2008
3697981583,13,80,16424,Fri Sep 18 15:58:26 +0000 2015
18510860,845371,231,223553,Wed Dec 31 17:21:13 +0000 2008
36900257,463,876,80014,Fri May 01 06:47:15 +0000 2009
620484097,4019,3732,41575,Thu Jun 28 00:37:00 +0000 2012
13492102,38560,2438,64580,Thu Feb 14 22:18:56 +0000 2008
22289204,2826,1813,1582,Sat Feb 28 19:55:49 +0000 2009
412327246,1214,1,123939,Mon Nov 14 15:03:03 +0000 2011
224704470,14386,12080,13485,Thu Dec 09 17:21:07 +0000 2010
894133937705951232,198,316,14484,Sun Aug 06 09:51:57 +0000 2017
2303262378,1132,1584,159579,Tue Jan 21 15:32:37 +0000 2014
2235695554,77,210,2441,Sat Dec 21 03:17:32 +0000 2013
454345598,54,252,3621,Tue Jan 03 22:05:24 +0000 2012
15084080,1998,2194,24421,Wed Jun 11 12:14:06 +0000 2008
192279318,907,1999,34195,Sat Sep 18 17:47:00 +0000 2010
724702259712499713,1808,1698,19571,Mon Apr 25 20:50:57 +0000 2016
1921705693,4005,4528,64181,Tue Oct 01 00:02:14 +0000 2013
229193474,462,798,1005,Tue Dec 21 19:35:37 +0000 2010
201509748,381,186,8828,Tue Oct 12 00:44:22 +0000 2010
838595784207708160,1785,1039,72021,Mon Mar 06 03:43:10 +0000 2017
38196575,384,1627,1255,Wed May 06 15:09:25 +0000 2009
1002822897587519488,145,478,602,Sat Jun 02 08:03:05 +0000 2018
84523588,2102,2487,799031,Fri Oct 23 06:39:07 +0000 2009
32387787,3489,3797,62234,Fri Apr 17 12:39:13 +0000 2009
480986000,82,505,12983,Thu Feb 02 04:54:29 +0000 2012
1030638793949409280,0,0,1787,Sat Aug 18 02:13:31 +0000 2018
435972218,319,264,29717,Tue Dec 13 16:59:52 +0000 2011
160576109,9932,1128,18853,Mon Jun 28 15:23:25 +0000 2010
468118916,121,79,29446,Thu Jan 19 05:56:38 +0000 2012
21993071,71723,73849,1194858,Thu Feb 26 09:17:07 +0000 2009
966179015789891585,156,259,19776,Wed Feb 21 05:13:22 +0000 2018
722236180226441216,1501,2639,22682,Tue Apr 19 01:31:38 +0000 2016
782162030941700096,3256,4988,51164,Sat Oct 01 10:15:34 +0000 2016
806575117992132614,38,167,53961,Wed Dec 07 19:04:28 +0000 2016
2463732438,1806,1613,2371,Fri Apr 25 22:14:18 +0000 2014
829061809135030272,28422,2086,4886,Tue Feb 07 20:18:33 +0000 2017
19723283,3559,1251,77146,Thu Jan 29 17:57:08 +0000 2009
59212679,1750,1963,32460,Wed Jul 22 18:55:05 +0000 2009
2518492394,7970,560,6213,Fri May 23 19:18:24 +0000 2014
4192705452,93276,81133,35570,Tue Nov 10 18:02:01 +0000 2015
60223057,11133,12981,8072,Sun Jul 26 03:38:05 +0000 2009
1307196882,8344,842,13036,Wed Mar 27 11:10:10 +0000 2013
19455864,23882,6403,32837,Sat Jan 24 18:01:32 +0000 2009
392636701,1529,1673,67922,Mon Oct 17 10:40:58 +0000 2011
18245335,153,2061,40828,Fri Dec 19 16:49:53 +0000 2008
22054765,1063,4898,114724,Thu Feb 26 20:10:53 +0000 2009
917812611336503298,3877,3606,13972,Tue Oct 10 18:02:33 +0000 2017
13950832,3825,75,4179,Mon Feb 25 17:42:05 +0000 2008
928829323,4551,4547,32424,Tue Nov 06 02:10:59 +0000 2012
856541502796955649,3110,3394,11734,Mon Apr 24 16:13:02 +0000 2017
57738516,1485,545,93849,Fri Jul 17 19:52:12 +0000 2009
16347946,760,1088,15870,Thu Sep 18 15:22:06 +0000 2008
197387399,389,1442,36473,Fri Oct 01 11:03:04 +0000 2010
1586804930,8702,1123,162923,Thu Jul 11 21:05:03 +0000 2013
861756968,18,279,835,Thu Oct 04 17:31:40 +0000 2012
2413754197,1605,518,11330,Thu Mar 27 06:31:33 +0000 2014
21776664,1240,2743,7073,Tue Feb 24 17:57:48 +0000 2009
363078890,41,1,23793,Sat Aug 27 14:01:37 +0000 2011
1061441426838347776,59,1,8508,Sun Nov 11 02:12:11 +0000 2018
354523574,2102,4551,503425,Sat Aug 13 21:30:55 +0000 2011
149142987,57,246,8553,Fri May 28 14:37:01 +0000 2010
136278010,61,168,21689,Fri Apr 23 13:48:00 +0000 2010
720093010420244481,1791,2028,60472,Wed Apr 13 03:35:27 +0000 2016
823200670455107586,122,737,288,Sun Jan 22 16:08:28 +0000 2017
