user_id,followers_count,following_count,status_count,created_at,favorites_count,verified
34655603,1778375,371,552949,Thu Apr 23 16:23:40 +0000 2009,699,True
20709304,2666,2388,12579,Thu Feb 12 19:39:31 +0000 2009,11157,False
6364702,6,8,1266,Sun May 27 15:44:21 +0000 2007,0,False
710856880680275969,2717,1784,28784,Fri Mar 18 15:54:22 +0000 2016,3462,False
42646063,183,610,21347,Tue May 26 15:24:08 +0000 2009,479,False
983439135024148480,5956,6350,24313,Mon Apr 09 20:18:56 +0000 2018,5563,False
340936037,70,470,14615,Sat Jul 23 14:45:25 +0000 2011,8963,False
18020666,322,1037,65700,Wed Dec 10 14:55:56 +0000 2008,1033,False
67349961,1441,4969,90094,Thu Aug 20 15:58:34 +0000 2009,53467,False
970427359865303040,273,833,11714,Sun Mar 04 22:34:47 +0000 2018,8073,False
2956092193,126,123,1050,Fri Jan 02 12:49:06 +0000 2015,278,False
835117966165364736,6057,1411,45707,Fri Feb 24 13:23:33 +0000 2017,58173,False
180424153,108,291,11030,Thu Aug 19 16:13:37 +0000 2010,2636,False
266440288,1580,3846,95350,Tue Mar 15 06:59:12 +0000 2011,61280,False
2311781443,1,20,207,Sun Jan 26 12:27:30 +0000 2014,0,False
224709022,6453,4701,29171,Thu Dec 09 17:34:31 +0000 2010,23471,False
255826721,2658,5001,562651,Tue Feb 22 03:38:37 +0000 2011,433341,False
1172529770,9,11,3110,Tue Feb 12 16:57:16 +0000 2013,0,False
304149355,741,1054,19695,Tue May 24 01:06:35 +0000 2011,231,False
1017080043430817792,582,211,49404,Wed Jul 11 16:15:53 +0000 2018,64099,False
1031082919,16,95,27765,Sun Dec 23 18:20:02 +0000 2012,73,False
1568091907,419,971,396,Thu Jul 04 12:11:33 +0000 2013,1497,False
82456816,16502,949,12029,Wed Oct 14 21:04:44 +0000 2009,2083,False
115400791,4205,4073,217202,Thu Feb 18 14:57:29 +0000 2010,22358,False
433209318,2172,4997,17108,Sat Dec 10 08:33:10 +0000 2011,27323,False
2597448462,592,576,26070,Tue Jul 01 05:50:14 +0000 2014,2443,False
317624256,676,968,23850,Wed Jun 15 06:35:27 +0000 2011,1641,False
14294848,273950,75,43584,Thu Apr 03 17:00:11 +0000 2008,263,True
18000449,244,341,74854,Tue Dec 09 19:56:33 +0000 2008,5605,False
898586234380996609,751,1020,17921,Fri Aug 18 16:43:48 +0000 2017,23580,False
320194003,190,91,1605,Sun Jun 19 13:41:17 +0000 2011,0,False
157195594,344,305,45753,Sat Jun 19 03:37:29 +0000 2010,18183,False
339034857,317,739,10716,Wed Jul 20 13:54:08 +0000 2011,2835,False
3931623958,166,348,23775,Sun Oct 11 22:24:05 +0000 2015,7829,False
140535985,96,74,19781,Wed May 05 19:06:45 +0000 2010,47,False
2311840544,18,3,17386,Sun Jan 26 13:14:59 +0000 2014,0,False
252221729,120,31,7556,Mon Feb 14 19:07:32 +0000 2011,4,False
3317649485,4137,2249,459189,Wed Jun 10 17:37:51 +0000 2015,2606,False
924219017648320513,49,401,2653,Sat Oct 28 10:19:19 +0000 2017,987,False
1689770203,2931,4907,40143,Thu Aug 22 02:01:20 +0000 2013,10082,False
375989152,19150,19278,719347,Mon Sep 19 03:12:55 +0000 2011,2,False
72518750,220,1250,49687,Tue Sep 08 10:03:41 +0000 2009,54,False
1009479444652625920,97,95,1467,Wed Jun 20 16:53:49 +0000 2018,370,False
1286106229,493,15,846159,Thu Mar 21 14:22:41 +0000 2013,0,False
951141109295546369,165,644,2817,Wed Jan 10 17:18:06 +0000 2018,35254,False
15328881,92844,616,11958,Sat Jul 05 23:07:19 +0000 2008,10191,True
30800805,411,671,4682,Mon Apr 13 03:48:34 +0000 2009,2836,False
139853489,6341,5603,57909,Mon May 03 21:49:15 +0000 2010,34842,False
92342590,494,193,19657,Tue Nov 24 19:16:49 +0000 2009,3348,False
144222146,14550,1256,31114,Sat May 15 17:05:50 +0000 2010,1973,False
232943162,926,15,4369,Sat Jan 01 20:36:17 +0000 2011,19,False
749646362,149,11,3350,Fri Aug 10 16:32:10 +0000 2012,0,False
128353949,2164,2643,33857,Wed Mar 31 21:56:49 +0000 2010,60433,False
2802445835,31851,24463,183403,Fri Oct 03 18:13:46 +0000 2014,1693,False
898517215405907969,126,885,2022,Fri Aug 18 12:09:32 +0000 2017,66,False
15730261,11886,13022,155691,Tue Aug 05 00:52:28 +0000 2008,175780,False
891975739,695,981,8193,Fri Oct 19 22:30:11 +0000 2012,3281,False
23430917,24982,425,35253,Mon Mar 09 12:51:31 +0000 2009,19309,True
2218703688,9291,614,25176,Thu Nov 28 01:37:41 +0000 2013,5743,False
14847073,103,94,24728,Tue May 20 16:21:06 +0000 2008,2,False
868132834162159616,1015,1914,6023,Fri May 26 15:52:51 +0000 2017,5697,False
93288759,9050,33,620735,Sun Nov 29 00:17:35 +0000 2009,416524,False
875869596,54,366,4423,Fri Oct 12 15:43:53 +0000 2012,594,False
2379948199,5464,5902,38542,Sun Mar 09 06:04:50 +0000 2014,27116,False
31417682,3797,820,7105,Wed Apr 15 14:20:43 +0000 2009,1326,False
994155243607769088,2,74,880,Wed May 09 10:00:55 +0000 2018,14,False
3729000014,206,675,6338,Tue Sep 29 19:37:53 +0000 2015,68052,False
11951392,167,216,7533,Mon Jan 07 17:38:15 +0000 2008,172,False
69256645,8349,8108,114066,Thu Aug 27 10:29:19 +0000 2009,5,False
1171473138,14438,2820,46684,Tue Feb 12 09:52:20 +0000 2013,148,True
816710779424669698,11,60,4491,Wed Jan 04 18:19:58 +0000 2017,0,False
123078358,1054,2557,102901,Sun Mar 14 22:49:07 +0000 2010,10175,False
145200095,2857,4542,36482,Tue May 18 10:52:06 +0000 2010,14565,False
236678195,442,1635,14949,Tue Jan 11 03:48:29 +0000 2011,46,False
561189988,1386,593,1930,Mon Apr 23 14:39:10 +0000 2012,262,False
966840711306866688,10,62,28422,Fri Feb 23 01:02:43 +0000 2018,21728,False
121332465,36,148,2977,Tue Mar 09 05:07:09 +0000 2010,21,False
528366390,74,88,25326,Sun Mar 18 10:09:35 +0000 2012,178,False
279791503,9928,10799,128093,Sun Apr 10 01:23:45 +0000 2011,26334,False
1691622588,6,82,63,Thu Aug 22 17:30:59 +0000 2013,289,False
827312885391040517,54,25,13047,Fri Feb 03 00:28:57 +0000 2017,113912,False
772923239219752960,29,176,402,Mon Sep 05 22:23:55 +0000 2016,1960,False
144044977,20,82,15458,Sat May 15 04:18:00 +0000 2010,41,False
51340057,107,313,12215,Sat Jun 27 04:03:53 +0000 2009,38,False
947146184057131008,269,1070,1375,Sat Dec 30 16:43:42 +0000 2017,44,False
985671412303171584,1306,333,35920,Mon Apr 16 00:09:12 +0000 2018,56456,False
357791973,79,11,4995,Thu Aug 18 22:29:43 +0000 2011,77,False
700661449769644032,1059,3841,12072,Fri Feb 19 12:41:22 +0000 2016,1798,False
361339709,58,197,59678,Wed Aug 24 16:50:40 +0000 2011,66,False
877089383907811328,11,56,22380,Tue Jun 20 09:02:59 +0000 2017,0,False
334320138,2004,2389,73550,Tue Jul 12 22:27:35 +0000 2011,1806,False
264895948,250,4649,19698,Sat Mar 12 16:49:42 +0000 2011,21664,False
30749810,13,22,65,Sun Apr 12 23:35:46 +0000 2009,126,False
837579672036622336,31,186,7278,Fri Mar 03 08:25:30 +0000 2017,5393,False
22176864,868,1042,93136,Fri Feb 27 19:20:53 +0000 2009,2,False
786760153915727872,31,107,42429,Fri Oct 14 02:46:52 +0000 2016,0,False
544433984,4132,3834,170193,Tue Apr 03 17:08:38 +0000 2012,6867,False
730817402297044993,19724,689,113109,Thu May 12 17:50:21 +0000 2016,79700,False
136868512,354,270,45848,Sun Apr 25 04:12:58 +0000 2010,67681,False
268841149,123,218,2967,Sat Mar 19 15:38:12 +0000 2011,50,False
972531700902359042,1001,7,7154,Sat Mar 10 17:56:41 +0000 2018,52,False
120284237,3884,697,4455,Sat Mar 06 00:39:27 +0000 2010,3924,False
2597448462,592,576,26070,Tue Jul 01 05:50:14 +0000 2014,2443,False
47797572,465,273,22052,Wed Jun 17 00:56:39 +0000 2009,10075,False
94252361,551,1116,32698,Thu Dec 03 04:11:14 +0000 2009,48164,False
815799834074415104,313,345,13521,Mon Jan 02 06:00:12 +0000 2017,9605,False
79075272,453,999,44376,Fri Oct 02 02:46:07 +0000 2009,422,False
3265755889,1586,2074,34191,Thu Jul 02 04:39:05 +0000 2015,8625,False
48528667,1729,2418,88338,Thu Jun 18 23:16:52 +0000 2009,72057,False
320332061,616,508,32162,Sun Jun 19 18:35:47 +0000 2011,9023,False
733068870098006016,222,295,7268,Wed May 18 22:56:53 +0000 2016,37845,False
96395029,9021,211,66855,Sat Dec 12 18:42:53 +0000 2009,7265,False
29192127,1196,2326,38345,Mon Apr 06 12:42:25 +0000 2009,5,False
3249966811,326,481,2857,Fri Jun 19 16:14:27 +0000 2015,1901,False
714524166553268225,9314,10132,155597,Mon Mar 28 18:46:51 +0000 2016,137576,False
895202145682763776,13,57,20770,Wed Aug 09 08:36:38 +0000 2017,0,False
66075435,8408,1673,119217,Sun Aug 16 07:31:25 +0000 2009,34395,False
1020326567048810496,198,21,18168,Fri Jul 20 15:16:25 +0000 2018,45,False
585221085,319,939,4980,Sat May 19 22:21:34 +0000 2012,17943,False
716889495438770176,176,784,1240,Mon Apr 04 07:25:49 +0000 2016,3835,False
2175728486,142,23,117114,Tue Nov 05 09:32:42 +0000 2013,14,False
550595609,30,91,12048,Wed Apr 11 01:31:23 +0000 2012,6,False
133397127,43964,37146,230351,Thu Apr 15 17:37:38 +0000 2010,176655,False
1002616727920959488,340,773,60905,Fri Jun 01 18:23:50 +0000 2018,72760,False
1083077382,64,234,18941,Sat Jan 12 14:11:25 +0000 2013,41,False
1691952625,38,45,5209,Thu Aug 22 19:39:40 +0000 2013,9,False
966951978172641280,508,1740,1457,Fri Feb 23 08:24:51 +0000 2018,1601,False
285741243,305,1148,7083,Thu Apr 21 18:07:00 +0000 2011,7433,False
2982301241,345,157,27438,Sat Jan 17 08:57:09 +0000 2015,2,False
2845611159,1386,1732,91929,Sun Oct 26 19:25:26 +0000 2014,46,False
3657871,7566,3247,85032,Fri Apr 06 21:38:51 +0000 2007,874,False
197964072,221,277,13046,Sat Oct 02 23:45:29 +0000 2010,3,False
95676374,804,943,6997,Wed Dec 09 16:12:57 +0000 2009,53,False
942460140,14756,7273,107831,Sun Nov 11 23:32:53 +0000 2012,45982,False
146485565,548,1432,102388,Fri May 21 15:09:23 +0000 2010,12809,False
1047699925310615558,3342,4428,18859,Thu Oct 04 04:08:22 +0000 2018,8368,False
