Node,Degree Centrality,Page Rank,Betweenness Centrality,Closeness Centrality
736643,1,0.5183009249,0,0.161985172
756278,1,0.5055314052,0,0.1778268461
756541,1,0.5282334861,0,0.501607717
765133,1,0.5188341625,0,0.157387629
767396,1,0.5226839739,0,0.1469147063
768622,1,0.5235171686,0,0.1455806621
768736,1,0.5235171686,0,0.1455806621
774909,1,0.4949054393,0,0.1774350566
776741,1,0.5252243692,0,0.1353659728
780240,1,0.5132702341,0,0.1459426428
791670,1,0.5218349112,0,0.1628842219
794111,1,0.5294180931,0,0.502283105
796075,1,0.5055314052,0,0.1778268461
803883,1,0.5055314052,0,0.1778268461
808824,1,0.5055314052,0,0.1778268461
809309,1,0.4964408467,0,0.1733016389
809487,1,0.5230694623,0,0.1429308459
816632,1,0.5230694623,0,0.1429308459
816986,1,0.5252243692,0,0.1353659728
817268,1,0.5055314052,0,0.1778268461
822805,1,0.5231402011,0,0.1419524093
822825,1,0.526522584,0,0.1135800849
823621,1,0.5252243692,0,0.1353659728
856841,1,0.5254692297,0,0.1340222145
971661,1,0.5018506279,0,0.154418978
1019161,1,0.5235171686,0,0.1455806621
1024691,1,0.5252243692,0,0.1353659728
1039121,1,0.5020010248,0,0.1721258512
1051731,1,0.5216771254,0,0.155211438
1059191,1,0.526522584,0,0.1135800849
1069351,1,0.5216771254,0,0.155211438
1090561,1,0.5116198477,0,0.1691165698
1125071,1,0.5207189469,0,0.1498842217
1189601,1,0.5235171686,0,0.1455806621
1196431,1,0.5252243692,0,0.1353659728
1200241,1,0.5252243692,0,0.1353659728
1220211,1,0.5055314052,0,0.1778268461
1252191,1,0.5173695661,0,0.1591708225
1263631,1,0.5235171686,0,0.1455806621
1290661,1,0.5230694623,0,0.1429308459
1298301,1,0.5230694623,0,0.1429308459
1314141,1,0.5226839739,0,0.1469147063
1346461,1,0.5219780422,0,0.138356739
1355401,1,0.5235171686,0,0.1455806621
1391871,1,0.5173695661,0,0.1591708225
1524021,1,0.5227816702,0,0.1261084103
1525391,1,0.4991303222,0,0.1768460831
1586871,1,0.5226839739,0,0.1469147063
1712831,1,0.5065079473,0,0.1698631481
1744141,1,0.5221488617,0,0.1485118792
1839091,1,0.5254692297,0,0.1340222145
1862181,1,0.4975532672,0,0.1574627714
1903021,1,0.5227816702,0,0.1261084103
1941281,1,0.5252243692,0,0.1353659728
1981691,1,0.5226839739,0,0.1469147063
1986571,1,0.5252243692,0,0.1353659728
2006841,1,0.4991303222,0,0.1768460831
2024911,1,0.5055314052,0,0.1778268461
2097571,39,17.74980115,741,1
2120621,1,0.5252243692,0,0.1353659728
2179951,1,0.5294180931,0,0.502283105
2234711,1,0.502992167,0,0.1696758862
2241411,1,0.5055314052,0,0.1778268461
2347421,1,0.5215602686,0,0.1612272452
2365511,1,0.5235272275,0,0.1380176159
2395401,1,0.5281627218,0,0.5015673981
2529971,1,0.5235171686,0,0.1455806621
2574831,1,0.5218349112,0,0.1628842219
2608911,1,0.5238004533,0,0.1386114836
2631141,1,0.5242486101,0,0.1446684073
2716231,1,0.5294180931,0,0.502283105
2884771,88,39.39067883,3828,1
2910971,1,0.5019555846,0,0.1559067171
3034251,1,0.5055314052,0,0.1778268461
3056391,1,0.4828548109,0,0.1623192482
3083881,1,0.5235272275,0,0.1380176159
3128101,1,0.502992167,0,0.1696758862
3137331,1,0.5116198477,0,0.1691165698
3143121,1,0.5254692297,0,0.1340222145
3157861,1,0.5338318903,0,0.1066210995
3231091,1,0.4949054393,0,0.1774350566
3262041,1,0.5276935202,0,0.09847860088
3339171,1,0.4949054393,0,0.1774350566
3340141,1,0.4949054393,0,0.1774350566
3343061,1,0.5252243692,0,0.1353659728
3359851,1,0.5055314052,0,0.1778268461
